player,uses,fight_count,primary_role,av_count
Soome,296.0,382,rdps,0.774869109947644
Jampers,333.0,472,healer,0.7055084745762712
Kopyedeep,183.0,396,rdps,0.4621212121212121
Shadowbaine,82.0,392,rdps,0.20918367346938777
Tawn,17.0,251,rdps,0.06772908366533864
Valmet,17.0,338,mdps,0.05029585798816568
Earrl,20.0,472,tank,0.0423728813559322
Irvaeryss,10.0,423,mdps,0.02364066193853428
Ayriea,8.0,343,rdps,0.023323615160349854
Kohbee,10.0,470,rdps,0.02127659574468085
Tahvee,7.0,347,rdps,0.020172910662824207
Psychodruid,8.0,415,rdps,0.01927710843373494
Caydd,4.0,229,healer,0.017467248908296942
Brianjr,6.0,471,mdps,0.012738853503184714
Divinance,6.0,472,tank,0.012711864406779662
Toyqt,4.0,359,mdps,0.011142061281337047
Metönymy,2.0,446,rdps,0.004484304932735426
Hokk,1.0,349,mdps,0.0028653295128939827
Acturus,0.0,273,healer,0.0
Petroll,0.0,421,rdps,0.0
Mythroes,0.0,449,healer,0.0
Atalya,0.0,338,mdps,0.0
Illestrae,0.0,464,healer,0.0
Elzam,0.0,275,mdps,0.0
Velryssa,0.0,179,mdps,0.0
