player,damage_taken,fight_count,primary_role,av_count
Ayriea,2002277264,668,damage,2997421.0538922157
Brian,2197720426,659,damage,3334932.3611532627
Illestra,2266617934,661,healer,3429074.030257186
Vaelyra,2432373955,654,damage,3719226.23088685
Uuglei,1708278013,423,damage,4038482.3002364067
Tawñ,2121535624,520,damage,4079876.2
Earrl,2656701860,636,tank,4177204.182389937
Metonymy,3089038007,666,damage,4638195.205705706
Shadowbaine,3056487927,658,damage,4645118.4300911855
Radiantldeal,3019489709,639,healer,4725336.007824726
Velryssa,2510296794,491,damage,5112620.761710795
Mythrose,3385594689,643,healer,5265310.558320373
Petrol,3723274408,668,damage,5573764.083832336
Stradivarus,2484600569,445,damage,5583372.065168539
Cagliostro,3411537847,606,damage,5629600.407590759
Psychodruid,3974761919,637,damage,6239814.629513344
Acturus,4462024563,651,healer,6854108.391705069
Divanance,5471355041,664,tank,8239992.531626506
Shallowfall,9020516113,513,damage,17583852.072124757
