player,hits,damage_taken,fight_count,primary_role,av_hit
Illestra,311,548153569,37,healer,8.405405405405405
Mythrose,305,593540574,37,healer,8.243243243243244
Radiantldeal,295,584820588,36,healer,8.194444444444445
Petrol,297,623509996,37,damage,8.027027027027026
Shadowbaine,276,516426915,35,damage,7.885714285714286
Metonymy,277,623850775,36,damage,7.694444444444445
Brian,277,464337254,36,damage,7.694444444444445
Future,268,520370906,35,damage,7.6571428571428575
Ayriea,207,397335280,28,damage,7.392857142857143
Vaelyra,258,445560036,35,damage,7.371428571428571
Shallowfall,235,326281326,34,damage,6.911764705882353
Tinytiki,186,202104880,27,damage,6.888888888888889
Acturus,244,368589259,36,healer,6.777777777777778
Cagliostro,216,369869971,34,damage,6.352941176470588
Velryssa,165,247879865,28,damage,5.892857142857143
Divanance,79,144603466,36,tank,2.1944444444444446
Earrl,77,149884421,37,tank,2.081081081081081
