player,hits,damage_taken,fight_count,primary_role,av_count
Acturus,10.0,1323307.0,90,healer,0.1111111111111111
Velryssa,4.0,1328444.0,30,mdps,0.13333333333333333
Divinance,15.0,1501617.0,90,tank,0.16666666666666666
Illestrae,24.0,4526324.0,90,healer,0.26666666666666666
Kohbee,31.0,6511540.0,87,rdps,0.3563218390804598
Tawn,37.0,7430359.0,86,rdps,0.43023255813953487
Valmet,39.0,6704952.0,90,mdps,0.43333333333333335
Toyqt,38.0,8199422.0,87,mdps,0.4367816091954023
Earrl,42.0,4673570.0,90,tank,0.4666666666666667
Ayriea,38.0,6654160.0,80,rdps,0.475
Stradivarus,32.0,4721153.0,60,rdps,0.5333333333333333
Elzam,42.0,5920671.0,78,mdps,0.5384615384615384
Irvaeryss,46.0,5806316.0,83,mdps,0.5542168674698795
Psychodruid,54.0,9252980.0,86,rdps,0.627906976744186
Brianjr,59.0,11115821.0,90,mdps,0.6555555555555556
Metönymy,63.0,11352628.0,90,rdps,0.7
Petroll,77.0,12991567.0,90,rdps,0.8555555555555555
Shadowbaine,40.0,7288604.0,46,rdps,0.8695652173913043
Kopyedeep,42.0,6209439.0,47,rdps,0.8936170212765957
Mythroes,63.0,13525130.0,69,healer,0.9130434782608695
Jampers,94.0,18495578.0,90,healer,1.0444444444444445
Ultray,84.0,14005729.0,77,rdps,1.0909090909090908
