player,hits,damage_taken,fight_count,per_fight,primary_role
Irvaeryss,58744838,58744838,5,11748967.6,mdps
Stradivarus,59600228,59600228,5,11920045.6,rdps
Ultray,77803101,77803101,6,12967183.5,rdps
Tahvee,100369891,100369891,5,20073978.2,rdps
Shadowbaine,105359521,105359521,6,17559920.166666668,rdps
Elzam,106380593,106380593,8,13297574.125,mdps
Kohbee,111081082,111081082,8,13885135.25,rdps
Mythroes,135814003,135814003,8,16976750.375,healer
Psychodruid,137616513,137616513,7,19659501.85714286,rdps
Toyqt,139271811,139271811,8,17408976.375,mdps
Tawn,140828137,140828137,8,17603517.125,rdps
Valmet,141831084,141831084,9,15759009.333333334,mdps
Acturus,143587935,143587935,8,17948491.875,healer
Metönymy,144981705,144981705,9,16109078.333333334,rdps
Illestrae,147632038,147632038,9,16403559.777777778,healer
Ayriea,149524396,149524396,9,16613821.777777778,rdps
Kopyedeep,152724498,152724498,9,16969388.666666668,rdps
Petroll,155964942,155964942,9,17329438.0,rdps
Jampers,158665456,158665456,9,17629495.111111112,healer
Brianjr,163967139,163967139,9,18218571.0,mdps
Earrl,540416595,540416595,9,60046288.333333336,tank
Divinance,561694440,561694440,9,62410493.333333336,tank
