,player,damage_done,fight_count,primary_role,av_count
9,Future,6477298097,167,damage,38786216.1497006
1,Au,3435115289,104,damage,33029954.701923076
16,Petrol,5402439012,185,damage,29202373.037837837
14,Metonymy,4603082695,170,damage,27076957.029411763
17,Psychodruid,3612695036,162,damage,22300586.64197531
4,Bryiah,1814133362,84,damage,21596825.73809524
23,Stradivarus,2003491027,99,damage,20237283.101010103
22,Shallowfall,3277634433,170,damage,19280202.547058824
3,Brian,2515923658,172,damage,14627463.127906976
28,Vaelyra,2189777461,185,damage,11836634.924324324
25,Tinytiki,1555334408,138,damage,11270539.188405797
29,Velryssa,814206685,79,damage,10306413.734177215
2,Ayriea,1616585659,165,damage,9797488.842424242
18,Pulsè,613819364,109,damage,5631370.311926605
5,Cagliostro,874936724,163,damage,5367709.963190184
32,Èllipses,725669297,138,damage,5258473.166666667
21,Shadowbaine,761181325,147,damage,5178104.251700681
13,Kyarrix,443330259,91,damage,4871761.087912088
8,Earrl,540108418,185,tank,2919504.962162162
7,Divanance,462857213,185,tank,2501930.881081081
0,Acturus,438701805,176,healer,2492623.8920454546
10,Illestra,208951681,185,healer,1129468.545945946
19,Radiantldeal,81673658,183,healer,446304.1420765027
15,Mythrose,34850768,185,healer,188382.52972972972
